Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura Appointment,Chrome 104.0.5112.81,,,2022-08-18 16:18:51,2022-08-18 16:25:36,6m - 45.766s,FAILED
,,,,,,,
Test Cases/Cura Appointment/Cura Create Appointment,Chrome 104.0.5112.81,,,2022-08-18 16:18:51,2022-08-18 16:19:04,12.765s,PASSED
println(url),Chrome 104.0.5112.81,,,2022-08-18 16:18:52,2022-08-18 16:18:52,0.136s,PASSED
openBrowser(url),Chrome 104.0.5112.81,,,2022-08-18 16:18:52,2022-08-18 16:18:58,5.570s,PASSED
maximizeWindow(),Chrome 104.0.5112.81,,,2022-08-18 16:18:58,2022-08-18 16:18:58,0.219s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:18:58,2022-08-18 16:18:59,1.224s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Button_Make Appointment""))",Chrome 104.0.5112.81,,,2022-08-18 16:18:59,2022-08-18 16:19:00,0.903s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Username""), username)",Chrome 104.0.5112.81,,,2022-08-18 16:19:00,2022-08-18 16:19:01,0.761s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Input_Password""), password)",Chrome 104.0.5112.81,,,2022-08-18 16:19:01,2022-08-18 16:19:01,0.743s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:19:01,2022-08-18 16:19:02,0.454s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/button_Login""))",Chrome 104.0.5112.81,,,2022-08-18 16:19:02,2022-08-18 16:19:03,0.971s,PASSED
takeScreenshot(),Chrome 104.0.5112.81,,,2022-08-18 16:19:03,2022-08-18 16:19:03,0.551s,PASSED
"StatusLogin = verifyElementVisible(findTestObject(""Page_CURA Healthcare Service/Select_Healtcare Center""))",Chrome 104.0.5112.81,,,2022-08-18 16:19:03,2022-08-18 16:19:04,0.420s,PASSED
tc_type = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 104.0.5112.81,,,2022-08-18 16:19:04,2022-08-18 16:19:04,0.001s,PASSED
"if (tc_type == ""negative"")",Chrome 104.0.5112.81,,,2022-08-18 16:19:04,2022-08-18 16:19:04,0.000s,PASSED
,,,,,,,
Test Cases/Cura Appointment/Cura Create Appointment,Chrome 104.0.5112.81,,,2022-08-18 16:19:04,2022-08-18 16:19:15,11.299s,PASSED
